timestamp,tmv_x,tmv_y,tmv_z,twv_x,twv_y,twv_z
1554967193.561149,0.3021374047,0.07611679286,0.01258007064,,,
1554967194.166333,0.3857375979,0.2386207879,0.2213781625,,,
1554967194.77144,0.391649574,0.238482818,0.2260983139,,,
1554967195.376624,0.3992606699,0.2408348471,0.2244105786,,,
1554967195.98177,0.3907488286,0.2510682344,0.2239840776,,,
1554967196.586915,0.3895196021,0.245740369,0.2264472544,,,
1554967197.192087,0.3942133188,0.2449319512,0.2275771797,,,
1554967197.797232,0.3896666467,0.2352004349,0.2257598042,,,
1554967198.402365,0.3967674077,0.2379411012,0.2112003714,,,
1554967199.007587,0.3929007351,0.2425160855,0.2139077932,,,
1554967199.612669,0.3904516995,0.2360754758,0.2253564447,,,
1554967200.21784,0.3884466588,0.240792647,0.2194365412,,,
1554967200.822986,0.3886675537,0.2326971442,0.2227277309,,,
1554967201.428119,0.3935266435,0.2386425287,0.2078458667,,,
1554967202.033303,0.3994463086,0.2380738556,0.2117648721,,,
1554967202.638474,0.3957596421,0.2398652136,0.2092398554,,,
1554967203.243594,0.3990170062,0.242802307,0.2136160433,,,
1554967203.848752,0.3250774741,0.1790664047,0.01344928332,,,
1554967204.453962,0.4069003761,0.2348440289,0.2097387165,,,
1554967205.059095,0.3949351907,0.2448167354,0.2150269449,,,
1554967205.664202,0.3996098638,0.2341846079,0.2162779272,,,
1554967206.269373,0.3997147679,0.2432782054,0.2097052783,,,
1554967206.874519,0.3945480287,0.2396040112,0.2154016495,,,
1554967207.479703,0.3989285529,0.2385810763,0.2091642022,,,
1554967208.084848,0.3913458288,0.2328457385,0.208908543,,,
1554967208.690007,0.3609656394,0.1297804117,0.003737094114,,,
1554967209.295152,0.3941353858,0.2354089767,0.2133253962,,,
1554967209.900298,0.402326405,0.2313984334,0.2028975785,,,
1554967210.505431,0.3959742785,0.2374912053,0.2063181698,,,
1554967211.110615,0.4050368071,0.2382222563,0.2084574252,,,
1554967211.715748,0.4063408375,0.2399207503,0.208026886,,,
1554967212.320919,0.4016185105,0.2273396254,0.2177363038,,,
1554967212.926052,0.4036740065,0.2402806133,0.2080345899,,,
1554967213.53121,0.4038631916,0.2370810211,0.2082572877,,,
1554967214.136368,0.4033726454,0.2438091785,0.2201461643,,,
1554967214.741527,0.4043933153,0.2335980982,0.2057213932,,,
1554967215.346685,0.4123019278,0.2409410775,0.2237648219,,,
1554967215.951869,0.4102044702,0.2462973744,0.2176681459,,,
1554967216.557015,0.4179353118,0.2419801205,0.2168416828,,,
1554967217.162135,0.4119727015,0.2410208136,0.2185735404,,,
1554967217.767306,0.4133661687,0.2534177601,0.211105004,,,
1554967218.372464,0.4076632261,0.237588048,0.2148110867,,,
1554967218.97761,0.4076053202,0.2330452502,0.2180264294,,,
1554967219.582768,0.407449156,0.242256552,0.2131360769,,,
1554967220.187914,0.4124598503,0.2456675172,0.2196766287,,,
1554967220.79306,0.4087832272,0.2406937182,0.2185181081,,,
1554967221.398205,0.4116791487,0.2493614554,0.2123519927,,,
1554967222.003351,0.4141847491,0.2401902378,0.2163111717,,,
1554967222.608509,0.4125322104,0.2451897711,0.2141056806,,,
1554967223.21368,0.4071986675,0.2479426712,0.2173061073,,,
1554967223.818851,0.410887748,0.2462537736,0.2103728801,,,
1554967224.423984,0.402104646,0.2408944219,0.2012799233,,,
1554967225.029168,0.4062522352,0.2336972654,0.2080703229,,,
1554967225.634275,0.4140957594,0.2352914065,0.1959944814,,,
1554967226.239434,0.4073903263,0.2370034009,0.2086432427,,,
1554967226.844605,0.4081256092,0.2451727092,0.2054553479,,,
1554967227.449802,0.4015833735,0.2428572327,0.207031101,,,
1554967228.054922,0.4109116793,0.2425735742,0.2136164457,,,
1554967228.660068,0.4174470305,0.2418923527,0.2102997154,,,
1554967229.265213,0.4130944908,0.2423335016,0.2146639377,,,
1554967229.870372,0.4061600268,0.2401238531,0.218061775,,,
1554967230.475517,0.4123493433,0.2466952205,0.2072043419,,,
1554967231.08065,0.412961334,0.2426626384,0.2107833326,,,
1554967231.685885,0.4145323932,0.2436929047,0.211780861,,,
1554967232.29098,0.4142366052,0.2369271368,0.2149491012,,,
1554967232.896138,0.4117937088,0.2458846569,0.2119825631,,,
1554967233.501296,0.4118609726,0.2462807596,0.2011886984,,,
1554967234.10648,0.4020005167,0.2391966134,0.2077596486,,,
1554967234.711587,0.4013653994,0.2399995029,0.2030801326,,,
1554967235.316784,0.4087472558,0.2392962128,0.2149842829,,,
1554967235.921891,0.4087753594,0.2392194718,0.2037937045,,,
1554967236.52705,0.4154854417,0.2429371327,0.2122893184,,,
1554967237.132195,0.4100510478,0.2461327165,0.1979051977,,,
1554967237.737392,0.3988843858,0.2370290607,0.2124659717,,,
1554967238.342538,0.4079637229,0.2404031008,0.1991558671,,,
1554967238.947671,0.3282637,0.04036211967,0.1100676283,,,
1554967239.552829,0.4052134454,0.2442087829,0.2003231347,,,
1554967240.158013,0.40816468,0.2403732389,0.213194862,,,
1554967240.76312,0.3968557417,0.233455345,0.2125696838,,,
1554967241.368292,0.404594183,0.2360681444,0.2049923092,,,
1554967241.973437,0.3789809644,0.1874422431,-0.002164346864,,,
1554967242.578595,0.4056824744,0.2380105704,0.2003592402,,,
1554967243.183754,0.4047201872,0.2384679615,0.2105437815,,,
1554967243.788887,0.4029870927,0.2457200438,0.2039424181,,,
1554967244.394045,0.4028502405,0.229132548,0.2135916799,,,
1554967244.999255,0.4059743583,0.2559530437,0.2040979266,,,
1554967245.200919,0.4222224355,0.2720039487,0.1998091191,,,
1554967245.402634,0.4382095337,0.2873826623,0.202668041,,,
1554967245.6044,0.4612183273,0.3003407419,0.2088929266,,,
1554967245.806077,0.493584156,0.3212630749,0.2108365148,,,
1554967246.00778,0.5342323184,0.3444215059,0.2155478299,,,
1554967246.210212,0.5884640813,0.3833159506,0.2198726535,,,
1554967246.411223,0.6543523669,0.4121792912,0.2308051884,,,
1554967246.814704,0.7868890762,0.4877998829,0.2549656928,,,
1554967247.218096,0.9169302583,0.5426576138,0.2601175606,,,
1554967247.419811,0.9834140539,0.5818092227,0.2577372491,,,
1554967247.621527,1.058593035,0.60544765,0.2553122342,,,
1554967247.823255,1.122550726,0.6344558001,0.2470032126,,,
1554967248.024983,1.185044408,0.6633689404,0.2421671003,,,
1554967248.226685,1.243487358,0.6954333782,0.2347724736,,,
1554967248.428413,1.277322769,0.6306666732,0.04607298598,,,
1554967248.630141,1.356839299,0.7619470954,0.2183160931,,,
1554967248.831856,1.420586109,0.7932814956,0.2113237232,,,
1554967249.033559,1.483722329,0.8296048045,0.2032465637,,,
1554967249.2353,1.547827721,0.866543591,0.1927096248,,,
1554967249.43704,1.617907286,0.9024842978,0.1884379983,,,
1554967249.638717,1.682674885,0.9359713793,0.189264372,,,
1554967249.840432,1.75260365,0.9682019353,0.18438375,,,
1554967250.042237,1.827185988,0.9897199869,0.1783992648,,,
1554967250.243876,1.899751186,0.9983627796,0.1757577211,,,
1554967250.445578,1.969377995,0.9996063113,0.1656630337,,,
1554967250.647293,2.028826952,1.001287937,0.160474658,,,
1554967250.849034,2.091961861,1.010959625,0.1514137834,,,
1554967251.050762,2.156580687,1.017844677,0.1428994387,,,
1554967251.45418,2.304366589,1.020775676,0.1329476684,,,
1554967251.85761,2.4324646,1.059819698,0.1170371473,,,
1554967252.059325,2.496948719,1.093610168,0.1129202545,,,
1554967252.462807,2.657335043,1.159134269,0.120112583,,,
1554967252.664496,2.734280348,1.192754149,0.1255625188,,,
